,commnets,Rating
0,The Gold Rush is one of Chaplins best films as well as one of his most famous It has been said that it is the film that he most wanted to be remembered by and its not hard to see why Chaplin plays the part of the lone prospector a young miner during the gold rush After getting caught in a storm he hurries to the only shelter that he can find a wood cabin in the middle of the storm It turns out that it is already inhabited and by a tough criminal named Black Larson no less and the scene in which Charlie and Big Jim another prospector insist to Black Larson that they are going to stay is one of the countless memorable scenes in the film,10
1,The Gold Rush is pure gold  It was Charlie Chaplins third featurelength film and marked his comeback of sorts following A Woman of Paris  which he had directed to great critical acclaim but which had been unsuccessful at the box office because it lacked his signature character The Little Tramp  This movie should be counted among Chaplins best and most enduring works; many people name City Lights which Ive also seen as THE best Chaplin movie but The Gold Rush is still an excellent showcase for one of movie comedys immortal geniusesHaving first seen this movie years ago on TV I saw it again in October  as part of my colleges silentfilm class on a poorquality videotape that often prevented the other students and I from laughing at it because we could barely discern what was happening on the screen ,10
2,Charles Chaplins The Gold Rush is arguably his finest film He stars as a wimpy prospector who decides to go to the Klondike in the hopes of striking it rich What he does not realize is that he may find love in the form of Georgia Hale instead of money In the end that may be all right with him The Gold Rush shows everything that made Charles Chaplin the great performer writer and director he was Quite possibly the finest cinematic icon of the th Century Chaplin showed humanity love and an undying want to entertain all audiences throughout his stellar cinematic career The movie is exceptional in every way Although I am not as wellversed with movies from the s as I am with the decades following it I would still probably call The Gold Rush the finest film of that year period Oh how the cinema misses Charles Chaplin today  stars out of ,0
3,The  Gold Rush to Alaska may have been harsh but Charlie Chaplin makes it hilarious As an unnamed prospector Chaplin goes through a series of gaffes while seeking gold in the Yukon Most famous of course are the shoe for dinner the dancing roles and the cabin teetering on the edge of a cliff His companion Big Jim McKay Mack Swain at one point is so hungry that he believes Chaplins character to be a chicken and before long a bear enters their cabin In the midst of it all the prospector falls in love with dancer Georgia Georgia HaleA real triumph for Charlie Chaplin! They must have had a lot of fun filming it!,10
4,To see Charlie Chaplins The Gold Rush is to know enjoyment One cannot help but enjoy a film as welldone as this! Chaplin said that this was the film for which he wanted to be remembered and I can see why It is a masterful blend of comedy drama and romance among other genres seamlessly brought together in one extraordinary picture Like all great movies The Gold Rush has more than its share of memorable moments from the Thanksgiving dinner to the dance of the dinner rolls to the cabin teetering on the edge of the mountain All of these scenes are brilliant because of The Tramps flawless physical comedy He was a master of comedic timing and he was one of the most graceful physical comedians Ive ever seen Dont get me wrong this picture is not just three fantastic scenes amongst filler The film moves along at a brisk pace following the misadventures of our hero The Lone Prospector Charlie Chaplin of course as he attempts to hit it big by discovering gold in Alaska Along his journey through the elements the prospector meets the notorious Black Larsen Tom Murray a wanted criminal willing to do anything to get his hands on some gold Fortunately our friend also comes across a fellow prospector Big Jim McKay Mack Swain who has finally defied all odds and struck it rich But the Lone Prospectors adventures take place not only out in the middle of nowhere When he is forced back to civilization he falls in love with Georgia Georgia Hale the most beautiful girl in town Of course it would be all too easy if no one else was interested in this beauty Jack Cameron Malcolm Waite the handsome ladys man who is not content with every other woman in town by his side; he must have Georgia as well Competition arises between the disappointed prospector and the egomaniacal lady killer All of this would be too much for any one of us but the Lone Prospector handles it all with his uncompromising resilience in the face of insurmountable odds to bring us one of the greatest comedies of all time! I will not lie I am a fan of Charlie Chaplins movies but as objective as I can possibly be this IS one of the great moviesEssential viewing!,10
5,This silent classic has many strong points  it has a lot of humor interesting characters a good story and good settings  Its the kind of film that shows how much a master filmmaker can communicate in a silent movie  It overdoes the sentimentality on occasion but other than that its a fine filmChaplin himself plays the Lone Prospector and he is joined by several other interesting characters in a frozen north setting that sets up some good adventures and drama  There are some memorable scenes in the prospectors rickety cabins plus some other good materialThe version of this that is the easiest to find is the one that Chaplin reedited in the s adding his own narration and deleting the title cards which gives it a slightly different feel  These revisions probably make it a bit easier to follow for those who arent used to silent films You can tell from Chaplins narration how fond he must have been of The Gold Rush and he had a lot of good reasons to be pleased with it  There are a couple of his later films that might be even better and more timeless but this one contains everything that defined Chaplin and his art,0
6,Charlie Chaplins silent film also rereleased with a narration in the early s focuses as usual on the Little Tramp and in this case his attraction to a chorus girl Georgia Hale This is the one where he eats a boot along with its laces and manages to make it appear a sumptuous meal; as well as creating a dance with bread rollsThe role of the girl was originally intended for the second Mrs Chaplin Lita Grey but her pregnancy ruled her out Georgia Hale is excellent in her disdain of the unwanted Tramp attentions Mack Swain appears as Big Jim who shares a cabin with the Tramp at one point getting so hungry he imagines his pal as a chicken ready to eat! This film has the spirit of the pioneers and goldrunners as well as the inimitable spirit of the little hero As a silent it is one of the best comedies of the time as a sound film it is fairly good,8
7,Ive seen both version of this filmthe original silent version from  and the rerelease by Chaplin in the s The difference is that the rerelease was designed to appeal to a new audience that expected sound from their movies To do this title cards were removedhaving Chaplin narrate the film In addition Chaplincreated music for the most partsome were classical pieces sound effects and singing were added to make the movie more palatable to the average viewer I personally like BOTH versions and the one you watch is up to you if you get a copy of the Warner Brothers release on DVDit has both plus excellent DVD extras Otherwise there have been a lot of public domain versions on video out theremany with terrible quality prints or music or both The Warner version is the most pristine and beautiful silent print you can find The version usually shown on Turner Classic movies is the  rereleaseI use this film for my American history class when we do our unit on the history of film though I might in the future use it for my Psychology classes as well I teach both because Chaplins genius came from his obsessivecompulsive nature The movie reportedly had  times more film exposed than you actually see in the film and the shoe eating segment was shot after more than  takes!! The plot involves Charlie going to Alaska for the Gold Rush at the turn of the century Along the way he has a series of misadventures that have been thoroughly discussed in the other reviews here on IMDb Suffice to say the supporting acting was excellent and the story kept an excellent pace and had enough slapstick to make it fun to watch something not true of all fulllength slapstick comediessometimes their pacing was negatively affected by the transition from shorts to fulllengthThis is a gorgeous wellexecuted piece of American art and a must for any real cinemaniac The musical score arranged by Chaplin direction acting and cinematography all are simply perfectmaking this in my opinion the best fulllength silent comedy ever made This is saying a lot considering how much I love Harold Lloyd and Buster Keatons films!,10
8,If any single figure can fairly be said to symbolize the glory years of the silent filmsthe cinemas truly international epochit is Charles Chaplins indomitable tramp The Little Fellow as millions came to call him was at once tatty and debonair browbeaten and irrepressibly optimisticand he was without question the bestloved international star in all of film history His coat was too small his pants too large his mustache patently falseand the resultant silhouette instantly recognizable wherever movies were shown Charlie Chaplins tramp spoke to all walks of lifeand never more eloquently than in such silent films as The Kid and The Gold Rush The Gold Rush is superb It deals with Charlies adventures to win the affection of a local dancehall girl and his hilarious efforts to avoid being eaten by bears and by prospectors who are bigger and hungrier than he The most memorable scene is one in which he dines on an old shoe Chaplins exquisite grace turned the boiled shoe into a gourmet feast he carves it carefully smacks his lips in anticipation and then eats it with gusto and appreciation sucking the nails as if they contained the most juices and twirling the laces around his fork as if they were spaghetti,10
9,In Charles Chaplins  film The Gold Rush a lone prospector travels to California looking for gold and entwines himself in adventures and finds Georgia the woman of his dreams After many hardships including a relocating cabin the lone prospector played by Charles Chaplin finds gold and becomes rich ending in success and unity with Georgia The time period in which this movie was shot compared with the technological innovation and the state of the art filming techniques give this film an undoubted masterpiece feel The use of upclose shots combined with comedic imagery also brought a new feel to the style of silent cinema The scene with the cabin shifting and the camera tilting to reflect the inner cabin was one of the many stylistic filming techniques that gave The Gold Rush such artistic and ingenious appeal Chaplins ideas and his vision that he brought to life in the movie The Gold Rush make it a great landmark in the beginning of silent films and in film history The intricate but simple story of The Gold Rush brought about many distinct feelings when viewing It gives feelings of happiness during scenes where there is comedic relief and slapstick comedy and also can bring about sadness or pity for the lone prospector when he waits for Georgia on New Years but she never shows up It reveals how silent films can become in touch with a persons feelings making them feel for the protagonist without having to have dialogue to explain the gestures and plot These aspects of The Gold Rush make it a milestone in the film industry of the modern world,9
